month,source,demand,x_hm3,delivered_hm3,cost_USD,benefit_USD
Jul,Santa,PTAP_Chao,0.107136,0.107136,2659.12,3097.84
Dic,Viru_Rio,Viru,0.0,0.0,0.0,0.0
Feb,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Ene,Santa,Chao,0.0,0.0,0.0,0.0
Sep,Santa,S3,5.358742,4.76928,133003.97,118373.53
Mar,Santa,PTAP_Trujillo,3.240864,3.240864,80438.24,93709.58
Mar,Dren_Chao,Chao,1.3392,0.40176,2404.27,721.28
May,Santa,S2,2.377456,2.115936,59008.46,52517.53
Abr,Chorobal,Chao,0.02592,0.007776,46.53,13.96
Mar,Santa,S2,2.708494,2.41056,67224.83,59830.1
Feb,Dren_Chao,Chao,1.596672,0.479002,2866.51,859.95
Sep,Santa,S4,6.028584,5.36544,149629.46,133170.22
Ene,Chorobal,Chao,0.0,0.0,0.0,0.0
Mar,Santa,PTAP_Chao,0.080352,0.080352,1994.34,2323.38
Dic,Santa,S2,2.6784,2.383776,66477.89,59165.32
May,Dren_Viru,Viru,1.660608,0.498182,2995.4,898.62
Abr,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Oct,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Abr,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Ene,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Ago,Viru_Rio,Viru,0.0,0.0,0.0,0.0
Dic,Dren_Viru,Viru,1.74096,0.522288,3140.34,942.1
Abr,Santa,Viru,4.537747,1.361324,112626.89,2455.56
Nov,Santa,PTAP_Trujillo,3.08448,3.08448,76556.79,89187.74
Ene,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Sep,Santa,Pecuario,1.5552,1.5552,38600.06,38600.06
Oct,Santa,PTAP_Trujillo,3.294432,3.294432,81767.8,95258.5
Oct,Dren_Chao,Chao,2.785536,0.835661,5000.87,1500.26
Sep,Santa,Chao,0.0,0.0,0.0,0.0
Jul,Viru_Rio,Viru,0.080352,0.024106,144.94,43.48
